Kσd ADM;Kσd obce;Nαzev obce;Kσd MOMC;Nαzev MOMC;Kσd obvodu Prahy;Nαzev obvodu Prahy;Kσd θαsti obce;Nαzev θαsti obce;Kσd ulice;Nαzev ulice;Typ SO;Θνslo domovnν;Θνslo orientaθnν;Znak θνsla orientaθnνho;PSΘ;Souψadnice Y;Souψadnice X;Platν Od
314595;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;1;;;39843;757427.50;1120345.00;2013-12-04T00:00:00
314609;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;2;;;39843;757443.81;1120302.25;2013-12-04T00:00:00
314617;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;3;;;39843;757431.74;1120279.65;2022-10-23T00:00:00
314625;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;4;;;39843;757399.92;1120241.27;2022-10-23T00:00:00
314633;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;5;;;39843;757460.43;1120209.12;2022-10-23T00:00:00
314641;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;6;;;39843;758190.19;1120774.25;2013-12-04T00:00:00
314650;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;7;;;39843;757505.35;1120170.94;2022-10-23T00:00:00
314668;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;8;;;39843;757559.38;1120113.33;2022-10-23T00:00:00
314676;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;9;;;39843;757596.67;1120071.46;2022-10-23T00:00:00
314684;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;10;;;39843;757592.29;1120114.14;2022-10-23T00:00:00
314692;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;11;;;39843;757534.84;1120176.00;2022-10-23T00:00:00
314706;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;15;;;39843;757543.82;1120191.38;2022-10-23T00:00:00
314714;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;16;;;39843;757483.00;1120297.00;2013-12-04T00:00:00
314722;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;17;;;39843;757471.88;1120281.75;2013-12-04T00:00:00
314731;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;18;;;39843;757571.25;1120280.13;2013-12-04T00:00:00
314749;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;19;;;39843;757470.63;1120229.50;2013-12-04T00:00:00
314757;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;20;;;39843;757401.50;1120302.36;2022-10-23T00:00:00
314765;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;21;;;39843;757387.62;1120335.81;2022-10-23T00:00:00
314773;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;22;;;39843;757422.26;1120253.77;2022-10-23T00:00:00
314781;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;23;;;39843;757631.00;1120272.63;2013-12-04T00:00:00
314790;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;24;;;39843;757483.00;1120337.88;2013-12-04T00:00:00
314803;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;25;;;39843;757485.75;1120217.63;2013-12-04T00:00:00
314811;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;26;;;39843;757561.13;1120306.38;2013-12-04T00:00:00
314820;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;27;;;39843;757625.28;1120083.40;2017-03-22T00:00:00
314838;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;28;;;39843;757904.56;1119576.38;2013-12-04T00:00:00
314846;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;29;;;39843;757915.78;1119551.26;2022-10-23T00:00:00
314854;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;30;;;39843;757863.75;1119539.50;2013-12-04T00:00:00
314862;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;31;;;39843;757871.06;1119567.75;2013-12-04T00:00:00
314871;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;32;;;39843;757407.17;1120357.87;2022-10-23T00:00:00
314889;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;33;;;39843;757459.75;1120257.00;2013-12-04T00:00:00
314897;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;34;;;39843;757648.88;1120061.75;2013-12-04T00:00:00
314901;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;35;;;39843;757906.38;1119494.13;2013-12-04T00:00:00
314919;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;37;;;39843;757917.69;1119467.25;2013-12-04T00:00:00
314927;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;42;;;39843;757885.02;1119428.45;2017-03-22T00:00:00
314935;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;84;;;39843;757921.61;1119436.07;2017-03-22T00:00:00
314943;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;85;;;39843;757913.70;1119435.88;2017-03-22T00:00:00
314951;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;86;;;39843;757905.78;1119435.85;2017-03-22T00:00:00
314960;549975;Veselνθko;;;;;180823;Bilina;;;θ.p.;88;;;39843;757860.94;1119431.88;2013-12-04T00:00:00
314978;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;1;;;39842;758147.38;1119320.00;2013-12-04T00:00:00
314986;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;2;;;39842;758058.44;1119194.25;2013-12-04T00:00:00
314994;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;3;;;39842;758168.19;1119366.14;2022-10-23T00:00:00
315001;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;4;;;39842;758159.69;1119376.75;2013-12-04T00:00:00
315010;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;5;;;39842;758140.59;1119378.89;2022-10-23T00:00:00
315028;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;6;;;39842;757994.75;1119313.25;2013-12-04T00:00:00
315036;549975;Veselνθko;;;;;180831;Veselνθko;;;θ.p.;7;;;39842;758058.69;1119414.38;2013-12-04T00:00:00
